platform	source	api_name_status
fc	Family Trainer 10 - Rairai Kyonsees (Japan).zip	rom_name_not_in_api
fc	Family Trainer 2 - Running Stadium (Japan).zip	rom_name_not_in_api
fc	Family Trainer 3 - Aerobics Studio (Japan).zip	rom_name_not_in_api
fc	Family Trainer 4 - Jogging Race (Japan).zip	rom_name_not_in_api
fc	Family Trainer 5 - Meiro Daisakusen (Japan).zip	rom_name_not_in_api
fc	Family Trainer 6 - Manhattan Police (Japan) (En).zip	rom_name_not_in_api
fc	Family Trainer 7 - Daiundoukai (Japan).zip	rom_name_not_in_api
fc	Family Trainer 8 - Totsugeki! Fuuun Takeshi-jou (Japan).zip	rom_name_not_in_api
fc	Family Trainer 9 - Fuuun Takeshi-jou 2 (Japan).zip	rom_name_not_in_api
fc	Famista '89 - Kaimaku Ban!! (Japan).zip	rom_name_not_in_api
fc	Fantasy Zone (Japan) (En) (Sunsoft).zip	rom_name_not_in_api
fc	Ferrari (Japan).zip	rom_name_not_in_api
fc	Field Combat (Japan) (En).zip	rom_name_not_in_api
fc	Final Fantasy (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Final Fantasy III (Japan).zip	rom_name_not_in_api
fc	Fire Emblem - Ankoku Ryuu to Hikari no Tsurugi (Japan).zip	rom_name_not_in_api
fc	Flappy (Japan) (En).zip	rom_name_not_in_api
fc	Flipull - An Exciting Cube Game (Japan) (En).zip	rom_name_not_in_api
fc	Formation Z (Japan) (En) (Rev 1).zip	rom_name_not_in_api
fc	Galaxian (Japan) (En) (Rev 1).zip	rom_name_not_in_api
fc	Ganbare Goemon! - Karakuri Douchuu (Japan).zip	rom_name_not_in_api
fc	Garfield no Isshukan (Japan) (En).zip	rom_name_not_in_api
fc	Geimos (Japan) (En).zip	rom_name_not_in_api
fc	Gekitotsu Yonku Battle (Japan) (En).zip	rom_name_not_in_api
fc	Gekitou Stadium!! (Japan).zip	rom_name_not_in_api
fc	Godzilla (Japan).zip	rom_name_not_in_api
fc	Golf (Japan).zip	rom_name_not_in_api
fc	Golgo 13 - Dai 1 Shou - Kamigami no Tasogare (Japan).zip	rom_name_not_in_api
fc	Golgo 13 - Dainishou - Icarus no Nazo (Japan).zip	rom_name_not_in_api
fc	Gomoku Narabe Renju (Japan).zip	rom_name_not_in_api
fc	Goonies (Japan) (En).zip	rom_name_not_in_api
fc	Gorby no Pipeline Daisakusen (Japan) (En).zip	rom_name_not_in_api
fc	Grand Master (Japan).zip	rom_name_not_in_api
