platform	source	reason
fc	Konami Wai Wai World (Japan).zip	unmatched ROM
fc	Kujaku Ou (Japan).zip	unmatched ROM
fc	Kujaku Ou II (Japan).zip	unmatched ROM
fc	Kung Fu (Japan, USA) (En).zip	unmatched ROM
fc	Kyonshiizu 2 (Japan).zip	unmatched ROM
fc	Kyoto Hana no Misshitsu Satsujin Jiken (Japan).zip	unmatched ROM
fc	Kyoto Ryuu no Tera Satsujin Jiken (Japan).zip	unmatched ROM
fc	Kyouryuu Sentai Zyuranger (Japan).zip	unmatched ROM
fc	Kyuukyoku Harikiri Stadium - '88 Senshu Shin Data Version (Japan).zip	unmatched ROM
fc	Kyuukyoku Harikiri Stadium - Heisei Gannen Han (Japan).zip	unmatched ROM
fc	Kyuukyoku Harikiri Stadium 3 (Japan).zip	unmatched ROM
fc	Kyuukyoku Tiger (Japan).zip	unmatched ROM
fc	Labyrinth (Japan).zip	unmatched ROM
fc	Lagrange Point (Japan).zip	unmatched ROM
fc	Lasalle Ishii no Child's Quest (Japan).zip	unmatched ROM
fc	Layla (Japan).zip	unmatched ROM
fc	Lipple Island (Japan).zip	unmatched ROM
fc	Lode Runner (Japan).zip	unmatched ROM
fc	Lost Word of Jenny - Ushinawareta Message (Japan).zip	unmatched ROM
fc	Lunar Ball (Japan).zip	unmatched ROM
fc	Lupin Sansei - Pandora no Isan (Japan).zip	unmatched ROM
fc	Mach Rider (Japan, USA) (En).zip	unmatched ROM
fc	Madoola no Tsubasa (Japan).zip	unmatched ROM
fc	Magical Kid's Doropie (Japan).zip	unmatched ROM
fc	Magical Taruruuto-kun - Fantastic World!! (Japan) (Rev 1).zip	unmatched ROM
fc	Magmax (Japan).zip	unmatched ROM
fc	Maharaja (Japan).zip	unmatched ROM
fc	Mahjong (Japan) (Rev B).zip	unmatched ROM
fc	Mahjong RPG Dora Dora Dora (Japan).zip	unmatched ROM
fc	Maison Ikkoku (Japan).zip	unmatched ROM
fc	Majaventure - Mahjong Senki (Japan).zip	unmatched ROM
