status	local_id	rom	local_titles	official_title	genre	maker	releases	first_release_date	suggested_title	suggestion_score
official_exact	pulstar-pulstar	pulstar.zip	パルスター | Pulstar	パルスター	横スクロールシューティング	エイコム	ＭＶＳカートリッジ ：1995/08/28 | ＮＥＯＧＥＯ ＲＯＭ：1995/09/29 | ＮＥＯＧＥＯ ＣＤ　：1995/10/27	1995-08-28		
review_local_only	puzzle-bobble-2-bust-a-move-again-pbobbl2n	pbobbl2n.zip	パズルボブル2 | Puzzle Bobble 2 / Bust-A-Move Again						パズルボブル	0.909
official_exact	puzzle-de-pon-puzzledp	puzzledp.zip	パズルdeポン! | Puzzle De Pon!	パズルdeポン！	パズル	ビスコ	ＭＶＳカートリッジ ：1995/11/28	1995-11-28		
official_exact	puzzled-joy-joy-kid-joyjoy	joyjoy.zip	ジョイジョイキッド | Puzzled / Joy Joy Kid	ジョイジョイキッド	パズル	SNK	ＭＶＳカートリッジ ：1990/11/20 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1990-11-20		
official_alias	quiz-daisousa-sen-the-last-count-down-quizdais	quizdais.zip	クイズ大捜査線 | Quiz Daisousa Sen - The Last Count Down | クイズ大捜査線 THE LAST COUNT DOWN	クイズ大捜査線 THE LAST COUNT DOWN	クイズ	SNK	ＭＶＳカートリッジ ：1991/07 | ＮＥＯＧＥＯ ＲＯＭ：1991/08/30	1991-07		
official_exact	quiz-king-of-fighters-quizkof	quizkof.zip	クイズ キング・オブ・ファイターズ | Quiz King of Fighters	クイズ キング・オブ・ファイターズ	クイズ	ザウルス	ＭＶＳカートリッジ ：1995/02/01 | ＮＥＯＧＥＯ ＲＯＭ：1995/03/10 | ＮＥＯＧＥＯ ＣＤ　：1995/04/07	1995-02-01		
official_exact	quiz-meitantei-neo-and-geo-quiz-daisousa-sen-part-2-quizdai2	quizdai2.zip	クイズ迷探偵ネオ&ジオ クイズ大捜査線パート2 | Quiz Meitantei Neo & Geo - Quiz Daisousa Sen part 2	クイズ迷探偵ネオ&ジオ クイズ大捜査線パート2	クイズ	SNK	ＭＶＳカートリッジ ：1992/03 | ＮＥＯＧＥＯ ＲＯＭ：1991/04/24	1991-04-24		
official_exact	rage-of-the-dragons-rotd	rotd.zip	レイジ・オブ・ザ・ドラゴンズ | Rage of the Dragons	レイジ・オブ・ザ・ドラゴンズ	格闘アクション	エヴォガエンターテイメント	ＭＶＳカートリッジ ：2002/06/06 | ＮＥＯＧＥＯ ＲＯＭ：2002/09/26	2002-06-06		
official_alias	ragnagard-shin-oh-ken-ragnagrd	ragnagrd.zip	神凰拳 | Ragnagard / Shin-Oh-Ken | 神鳳拳	神鳳拳	格闘アクション	ザウルス	ＭＶＳカートリッジ ：1996/06/13 | ＮＥＯＧＥＯ ＲＯＭ：1996/07/26 | ＮＥＯＧＥＯ ＣＤ　：1996/08/23	1996-06-13		
official_alias	real-bout-fatal-fury-2-the-newcomers-real-bout-garou-densetsu-2-the-newcomers-rbff2	rbff2.zip	リアルバウト餓狼伝説2 | Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - The Newcomers | リアルバウト餓狼伝説2　THE NEWCOMERS	リアルバウト餓狼伝説2　THE NEWCOMERS	格闘アクション	SNK	ＭＶＳカートリッジ ：1998/03/20 | ＮＥＯＧＥＯ ＲＯＭ：1998/04/29 | ＮＥＯＧＥＯ ＣＤ　：1998/07/23	1998-03-20		
official_exact	real-bout-fatal-fury-real-bout-garou-densetsu-rbff1	rbff1.zip	リアルバウト餓狼伝説 | Real Bout Fatal Fury / Real Bout Garou Densetsu	リアルバウト餓狼伝説	格闘アクション	SNK	ＭＶＳカートリッジ ：1995/12/21 | ＮＥＯＧＥＯ ＲＯＭ：1996/01/26 | ＮＥＯＧＥＯ ＣＤ　：1996/02/23	1995-12-21		
